City,County
Bath,Somerset
Birmingham,West Midlands (county)
Bradford,West Yorkshire
Brighton and Hove,East Sussex
Bristol,Bristol
Cambridge,Cambridgeshire
Canterbury,Kent
Carlisle,Cumbria
Chelmsford,Essex
Chester,Cheshire
Chichester,West Sussex
Coventry,West Midlands (county)
Derby,Derbyshire
Durham,County Durham
Ely,Cambridgeshire
Exeter,Devon
Gloucester,Gloucestershire
Hereford,Herefordshire
Kingston upon Hull,East Riding of Yorkshire
Lancaster,Lancashire
Leeds,West Yorkshire
Leicester,Leicestershire
Lichfield,Staffordshire
Lincoln,Lincolnshire
Liverpool,Merseyside
City of London,City of London
Manchester,Greater Manchester
Newcastle upon Tyne,Tyne and Wear
Norwich,Norfolk
Nottingham,Nottinghamshire
Oxford,Oxfordshire
Peterborough,Cambridgeshire
Plymouth,Devon
Portsmouth,Hampshire
Preston,Lancashire
Ripon,North Yorkshire
Salford,Greater Manchester
Salisbury,Wiltshire
Sheffield,South Yorkshire
Southampton,Hampshire
St Albans,Hertfordshire
Stoke-on-Trent,Staffordshire
Sunderland,Tyne and Wear
Truro,Cornwall
Wakefield,West Yorkshire
Wells,Somerset
Westminster,Greater London
Winchester,Hampshire
Wolverhampton,West Midlands (county)
Worcester,Worcestershire
York,North Yorkshire
Aberdeen,Aberdeen City
Dundee,Dundee City
Edinburgh,City of Edinburgh
Glasgow,Glasgow City
Inverness,Highland (council area)
Perth,Perth and Kinross
Stirling,Stirling (council area)
Bangor,Gwynedd
Cardiff,South Glamorgan
Newport,Gwent (county)
St Asaph,Clwyd
St Davids,Dyfed
Swansea,West Glamorgan
Armagh,County Armagh
Belfast,County Antrim / County Down
Lisburn,County Antrim / County Down
Newry,County Armagh / County Down
Derry,County Londonderry
